2019,1.35,1.37,1.22,1.30,1.08,1.17,,,1.09,1.11,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,1.22,Fresh And Chilled
2018,1.36,0.99,0.86,1.04,1.03,1.07,,,1.08,1.06,1.17,1.23,1.23,1.21,1.18,1.22,1.25,1.22,1.12,
2017,1.75,1.49,1.34,1.47,1.34,1.28,,,1.13,1.25,1.47,1.26,1.72,1.48,1.23,1.25,1.23,1.24,1.38,
2016,1.53,1.36,1.30,1.37,1.25,1.21,,,1.21,1.22,1.20,1.32,1.28,1.27,1.35,1.35,1.59,1.42,1.33,
2015,1.19,1.45,1.33,1.35,1.30,1.11,,,1.15,1.19,1.28,1.32,1.41,1.33,1.19,1.27,1.44,1.29,1.30,
2014,1.00,0.86,0.85,0.89,0.94,1.02,,,1.07,1.01,1.33,1.14,1.19,1.22,1.16,1.15,1.19,1.17,1.03,
2013,1.66,1.68,1.96,1.81,1.48,1.24,,,1.09,1.28,1.35,1.37,1.23,1.31,1.17,1.15,1.33,1.21,1.47,
2012,1.07,0.90,0.87,0.93,0.92,1.30,,,1.31,1.17,1.13,1.30,1.12,1.18,1.10,1.15,1.24,1.16,1.07,
2011,1.46,1.20,1.07,1.23,1.05,0.97,,,1.08,1.04,0.98,1.01,1.09,1.03,1.13,1.12,1.15,1.13,1.13,
2010,1.19,1.24,1.14,1.19,0.98,1.00,,,1.01,1.00,1.16,1.55,1.02,1.22,0.92,0.93,1.04,0.96,1.11,
2009,1.08,0.96,0.89,0.96,0.90,0.92,,,0.98,0.93,0.90,0.89,0.83,0.87,0.83,0.92,0.88,0.87,0.92,
2008,1.40,1.09,0.97,1.13,0.98,1.01,,,0.95,0.97,0.87,0.88,0.92,0.89,0.87,0.88,0.86,0.87,0.99,
Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,
2019,1.82,1.61,2.06,1.85,2.03,1.78,,,1.05,1.37,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,1.50,Frozen
2018,1.84,1.88,2.12,1.96,1.81,1.72,,,0.91,1.22,0.92,1.02,1.30,1.01,1.88,1.74,1.51,1.76,1.29,
2017,0.75,0.63,0.53,0.62,0.55,0.61,,,0.85,0.67,0.86,1.10,1.17,0.96,1.93,2.18,1.80,2.00,0.87,
2016,1.02,0.83,0.63,0.76,0.71,1.07,,,0.71,0.75,0.75,0.78,0.70,0.75,0.66,0.55,0.57,0.58,0.71,
2015,0.93,1.00,0.78,0.85,1.36,0.77,,,0.97,0.93,0.84,0.94,0.71,0.83,0.61,0.67,0.98,0.70,0.81,
2014,1.01,1.16,0.58,0.74,1.86,1.61,,,0.91,1.18,0.88,1.01,1.02,0.95,1.29,0.86,1.02,0.98,0.91,
