Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,Dried
2019,1.47,1.54,1.74,1.58,1.85,2.96,,,1.70,2.17,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,1.79,
2018,1.41,1.48,1.82,1.57,1.50,1.69,,,1.62,1.60,1.49,1.71,1.35,1.52,1.33,1.25,1.42,1.34,1.49,
2017,1.42,1.53,1.36,1.42,1.50,1.75,,,1.36,1.51,1.36,1.40,1.42,1.40,1.65,1.30,1.35,1.43,1.44,
2016,1.65,1.44,1.60,1.58,1.59,1.39,,,1.53,1.52,1.80,1.64,1.31,1.56,1.50,1.38,1.59,1.47,1.53,
2015,1.41,1.60,1.43,1.46,1.65,1.54,,,1.28,1.51,1.76,1.24,1.29,1.38,1.37,1.46,1.11,1.30,1.40,
Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,Fresh or Chilled
2019,1.02,1.00,0.99,1.00,1.12,1.23,,,1.45,1.28,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,1.09,
2018,0.69,0.69,0.65,0.68,0.72,0.77,,,1.06,0.83,1.22,1.17,1.14,1.17,0.94,0.75,0.89,0.84,0.84,
2017,0.72,0.64,0.74,0.70,0.67,0.72,,,0.90,0.73,1.23,1.26,1.47,1.30,1.01,0.72,0.77,0.79,0.80,
2016,0.88,0.88,0.78,0.85,0.61,0.67,,,1.18,0.80,1.41,1.15,1.13,1.21,0.85,0.71,0.71,0.73,0.85,
2015,0.32,0.67,0.72,0.56,0.89,0.99,,,1.00,0.96,1.12,1.18,1.08,1.12,0.97,0.84,0.88,0.87,0.79,
Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,Frozen
2019,0.43,0.44,0.44,0.44,0.49,0.42,,,0.39,0.43,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,0.44,
2018,0.45,0.46,0.44,0.45,0.42,0.46,,,0.42,0.43,0.41,0.37,0.40,0.39,0.41,0.40,0.40,0.40,0.42,
2017,0.41,0.40,0.41,0.41,0.42,0.42,,,0.38,0.41,0.36,0.35,0.34,0.35,0.43,0.44,0.39,0.42,0.40,
2016,0.39,0.41,0.43,0.41,0.44,0.39,,,0.40,0.41,0.34,0.37,0.41,0.37,0.40,0.40,0.42,0.41,0.40,
2015,0.39,0.41,0.40,0.40,0.42,0.38,,,0.38,0.39,0.37,0.36,0.36,0.36,0.35,0.39,0.39,0.38,0.39,
